name,team,country_code
NONE,NONE,NO
Max Verstappen,RedBull,NL
Sergio Perez,RedBull,MX
Lewis Hamilton,Mercedes,UK
George Russel,Mercedes,UK
Charles Leclerc,Ferrari,MC
Carlos Sainz,Ferrari,ES
Lando Norris,McLaren,UK
Oscar Piastri,McLaren,AU
Fernando Alonso,Aston Martin,ES
Lance Stroll,Aston Martin,CA
Pierre Gasly,Alpine,FR
Esteban Ocon,Alpine,FR
Alexander Albon,Williams,TH
Logan Sargeant,Williams,US
Yuki Tsunoda,AlphaTauri,JP
Daniel Ricciardo,AlphaTauri,AU
Valteri Bottas,Alfa Romeo,FL
Zhou Guanyu,Alfa Romeo,CN
Nico Hulkenberg,Haas,DE
Kevin Magnussen,Haas,DK
Nyck de Vries,AlphaTauri,NL
