id,user_id,race_id,p10_id,dnf_id,raceresult_id
1,Henri,1,Valteri Bottas,Zhou Guanyu,1
2,Henri,2,Valteri Bottas,Logan Sargeant,2
3,Henri,3,Alexander Albon,Valteri Bottas,3
4,Henri,4,Oscar Piastri,Nyck de Vries,4
5,Henri,5,Esteban Ocon,Charles Leclerc,5
6,Henri,7,Yuki Tsunoda,Charles Leclerc,6
7,Henri,8,Charles Leclerc,Carlos Sainz,7
8,Henri,9,Oscar Piastri,Kevin Magnussen,8
9,Henri,10,Alexander Albon,NONE,9
10,Henri,11,Pierre Gasly,Yuki Tsunoda,10
11,Henri,12,Esteban Ocon,Kevin Magnussen,11
12,Henri,13,Lance Stroll,Esteban Ocon,12
13,Henri,14,Lance Stroll,Pierre Gasly,13
14,Henri,15,Oscar Piastri,Alexander Albon,14
15,Henri,16,Pierre Gasly,Logan Sargeant,15
16,Henri,17,Fernando Alonso,Logan Sargeant,16
17,Henri,18,Alexander Albon,Logan Sargeant,17
18,Henri,19,Yuki Tsunoda,Logan Sargeant,18
19,Henri,20,Valteri Bottas,Logan Sargeant,19
