id,grandprix,number,date
1,Bahrain,1,2023-03-05
2,Saudi Arabia,2,2023-03-19
3,Melbourne,3,2023-04-02
4,Baku,4,2023-04-30
5,Miami,5,2023-05-07
6,Imola,6,2023-05-21
7,Monaco,7,2023-05-28
8,Barcelona,8,2023-06-04
9,Montreal,9,2023-06-18
10,Spielberg,10,2023-07-02
11,Silverstone,11,2023-07-09
12,Budapest,12,2023-07-23
13,Spa,13,2023-07-30
14,Zandvoort,14,2023-08-27
15,Monza,15,2023-09-03
16,Singapore,16,2023-09-17
17,Suzuka,17,2023-09-24
18,Qatar,18,2023-10-08
19,Austin,19,2023-10-22
20,Mexico,20,2023-10-29
21,Brazil,21,2023-11-05
22,Las Vegas,22,2023-11-18
23,Abu Dhabi,23,2023-11-26
